product_name,product_id,color,pe,produc_type,product_style,department,category,department_id,price
Nike Metcon 6 AMP,fw1001,699,FTW,Nike Metcon 6 AMP Training Shoe,Nike Metcon 6 AMP,Training Shoe,Training,1,$190 
Nike SuperRep Go 2,fw1002,002,FTW,Nike SuperRep Go 2 Men's Training Shoe,Nike SuperRep Go 2,Men's Training Shoe,Men's,2,$200 
Nike Savaleos,fw1003,372,FTW,Nike Savaleos Weightlifting Shoe,Nike Savaleos,Weightlifting Shoe,Training,1,$150 
Training Shoe Finder,fw1004,878,FTW,Training Shoe Finder,Learn More,Nike Free Metcon 4,Training,1,$170 
Nike Romaleos 4,fw1005,132,FTW,Nike Romaleos 4 Training Shoe,Nike Romaleos 4,Training Shoe,Training,1,$170 
Nike React Metcon Turbo,fw1006,639,FTW,Nike React Metcon Turbo Training Shoe,Nike React Metcon Turbo,Training Shoe,Training,1,$270 
Nike Metcon 6 AMP,fw1007,140,FTW,Nike Metcon 6 AMP Training Shoe,Nike Metcon 6 AMP,Training Shoe,Training,1,$220 
Nike Legend Essential 2,fw1008,910,FTW,Nike Legend Essential 2 Men's Training Shoe,Nike Legend Essential 2,Men's Training Shoe,Training,1,$200 
Nike Air Zoom SuperRep 2 Men's HIIT Class Shoe,fw1009,836,FTW,Nike Air Zoom SuperRep 2,Men's HIIT Class Shoe,,Men's,2,$200 
Nike Metcon 6,fw1010,467,FTW,Nike Metcon 6 Training Shoe,Nike Metcon 6,Training Shoe,Training,1,$170 
Nike SuperRep Cycle,fw1011,594,FTW,Nike SuperRep Cycle Men's Indoor Cycling Shoe,Nike SuperRep Cycle,Men's Indoor Cycling Shoe,Men's,2,$190 
Nike ZoomX SuperRep Surge,fw1012,942,FTW,Nike ZoomX SuperRep Surge Men's Endurance Class Shoe,Nike ZoomX SuperRep Surge,Men's Endurance Class Shoe,Men's,2,$170 
Nike Metcon 6 By You,fw1013,327,FTW,Nike Metcon 6 By You Custom Training Shoe,Nike Metcon 6 By You,Custom Training Shoe,Training,1,$200 
Nike Free Metcon 4,fw1014,887,FTW,Nike Free Metcon 4 Training Shoe,Nike Free Metcon 4,Training Shoe,Training,1,$220 
Nike Metcon 6 Premium,fw1015,621,FTW,Nike Metcon 6 Premium Training Shoe,Nike Metcon 6 Premium,Training Shoe,Training,1,$170 
Nike MC Trainer,fw1016,902,FTW,Nike MC Trainer Men's Training Shoe,Nike MC Trainer,Men's Training Shoe,Men's,2,$200 
Nike Metcon 6,fw1017,989,FTW,Nike Metcon 6 Men's Training Shoe,Nike Metcon 6,Men's Training Shoe,Men's,2,$100 
Nike SpeedRep,fw1018,131,FTW,Nike SpeedRep Men's Training Shoe,Nike SpeedRep,Men's Training Shoe,Men's,2,$190 
Nike Air Max Alpha Trainer 4,fw1019,725,FTW,Nike Air Max Alpha Trainer 4 Men's Training Shoe,Nike Air Max Alpha Trainer 4,Men's Training Shoe,Men's,2,$130 
Nike Air Zoom SuperRep 2 Premium,fw1020,153,FTW,Nike Air Zoom SuperRep 2 Premium HIIT Class Shoe,Nike Air Zoom SuperRep 2 Premium,HIIT Class Shoe,Training,1,$130 
Nike Metcon 6 By You,fw1021,313,FTW,Nike Metcon 6 By You Custom Training Shoe,Nike Metcon 6 By You,Custom Training Shoe,Training,1,$190 
Nike ZoomX SuperRep Surge,fw1022,776,FTW,Nike ZoomX SuperRep Surge Men's Endurance Class Shoe,Nike ZoomX SuperRep Surge,Men's Endurance Class Shoe,Men's,2,$220 
Nike SuperRep Go 2,fw1023,946,FTW,Nike SuperRep Go 2 Men's Training Shoe,Nike SuperRep Go 2,Men's Training Shoe,Men's,2,$200 
Nike Free Metcon 4,fw1024,719,FTW,Nike Free Metcon 4 Training Shoe,Nike Free Metcon 4,Training Shoe,Training,1,$150 
Nike Air Zoom SuperRep 2,fw1025,631,FTW,Nike Air Zoom SuperRep 2 Men's HIIT Class Shoe,Nike Air Zoom SuperRep 2,Men's HIIT Class Shoe,Men's,2,$170 
Nike Metcon 6,fw1026,367,FTW,Nike Metcon 6 Training Shoe,Nike Metcon 6,Training Shoe,Training,1,$170 
Nike Air Monarch IV,fw1027,048,FTW,Nike Air Monarch IV Men's Training Shoe,Nike Air Monarch IV,Men's Training Shoe,Men's,2,$190 
Nike Air Monarch IV,fw1028,404,FTW,Related Categories,Metcon Shoes,Men's Dri-FIT Training & Gym Shorts,Men's,2,$80.99 
Nike SB Zoom Blazer Mid Premium Skate Shoe,fw1029,941,FTW,Nike SB Zoom Blazer Mid Premium,Skate Shoe,,Training,1,$170 
Nike SB BLZR Court,fw1030,832,FTW,Nike SB BLZR Court Skate Shoe,Nike SB BLZR Court,Skate Shoe,Training,1,$170 
Nike SB Zoom Blazer Low Pro GT,fw1031,323,FTW,Nike SB Zoom Blazer Low Pro GT Skate Shoe,Nike SB Zoom Blazer Low Pro GT,Skate Shoe,Training,1,$100 
Nike SB Air Zoom Janoski RM By You,fw1032,788,FTW,Nike SB Air Zoom Janoski RM By You Custom Skate Shoe,Nike SB Air Zoom Janoski RM By You,Custom Skate Shoe,Training,1,$120 
Nike SB Zoom Blazer Mid Edge,fw1033,407,FTW,Nike SB Zoom Blazer Mid Edge Skate Shoe,Nike SB Zoom Blazer Mid Edge,Skate Shoe,Training,1,$160 
Nike SB Zoom Stefan Janoski RM,fw1034,191,FTW,Nike SB Zoom Stefan Janoski RM Skate Shoe,Nike SB Zoom Stefan Janoski RM,Skate Shoe,Training,1,$150 
Nike SB Charge Canvas,fw1035,525,FTW,Nike SB Charge Canvas Skate Shoe,Nike SB Charge Canvas,Skate Shoe,Training,1,$130 
Nike SB Air Zoom Janoski RM By You Custom Skate Shoe,fw1036,610,FTW,Nike SB Air Zoom Janoski RM By You,Custom Skate Shoe,,Men's,2,$160 
